Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35055,"Markham--Thornhill","Markham--Thornhill"," 1","Markham",N,N,"",1,405,"Felian","","Melissa","Conservative","Conservateur",N,N,44
35055,"Markham--Thornhill","Markham--Thornhill"," 1","Markham",N,N,"",1,405,"Lee","","Mimi","Green Party","Parti Vert",N,N,2
35055,"Markham--Thornhill","Markham--Thornhill"," 1","Markham",N,N,"",1,405,"Ng","","Mary","Liberal","Libéral",Y,Y,105
35055,"Markham--Thornhill","Markham--Thornhill"," 1","Markham",N,N,"",1,405,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,3
35055,"Markham--Thornhill","Markham--Thornhill"," 1","Markham",N,N,"",1,405,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
35055,"Markham--Thornhill","Markham--Thornhill"," 2","Markham",N,N,"",0,358,"Felian","","Melissa","Conservative","Conservateur",N,N,38
35055,"Markham--Thornhill","Markham--Thornhill"," 2","Markham",N,N,"",0,358,"Lee","","Mimi","Green Party","Parti Vert",N,N,2
35055,"Markham--Thornhill","Markham--Thornhill"," 2","Markham",N,N,"",0,358,"Ng","","Mary","Liberal","Libéral",Y,Y,93
35055,"Markham--Thornhill","Markham--Thornhill"," 2","Markham",N,N,"",0,358,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,1
35055,"Markham--Thornhill","Markham--Thornhill"," 2","Markham",N,N,"",0,358,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
35055,"Markham--Thornhill","Markham--Thornhill"," 3","Markham",N,N,"",1,418,"Felian","","Melissa","Conservative","Conservateur",N,N,39
35055,"Markham--Thornhill","Markham--Thornhill"," 3","Markham",N,N,"",1,418,"Lee","","Mimi","Green Party","Parti Vert",N,N,1
35055,"Markham--Thornhill","Markham--Thornhill"," 3","Markham",N,N,"",1,418,"Ng","","Mary","Liberal","Libéral",Y,Y,99
35055,"Markham--Thornhill","Markham--Thornhill"," 3","Markham",N,N,"",1,418,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,0
35055,"Markham--Thornhill","Markham--Thornhill"," 3","Markham",N,N,"",1,418,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
35055,"Markham--Thornhill","Markham--Thornhill"," 4","Markham",N,N,"",1,485,"Felian","","Melissa","Conservative","Conservateur",N,N,71
35055,"Markham--Thornhill","Markham--Thornhill"," 4","Markham",N,N,"",1,485,"Lee","","Mimi","Green Party","Parti Vert",N,N,3
35055,"Markham--Thornhill","Markham--Thornhill"," 4","Markham",N,N,"",1,485,"Ng","","Mary","Liberal","Libéral",Y,Y,137
35055,"Markham--Thornhill","Markham--Thornhill"," 4","Markham",N,N,"",1,485,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,7
35055,"Markham--Thornhill","Markham--Thornhill"," 4","Markham",N,N,"",1,485,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
35055,"Markham--Thornhill","Markham--Thornhill"," 5","Markham",N,N,"",6,576,"Felian","","Melissa","Conservative","Conservateur",N,N,63
35055,"Markham--Thornhill","Markham--Thornhill"," 5","Markham",N,N,"",6,576,"Lee","","Mimi","Green Party","Parti Vert",N,N,5
35055,"Markham--Thornhill","Markham--Thornhill"," 5","Markham",N,N,"",6,576,"Ng","","Mary","Liberal","Libéral",Y,Y,129
35055,"Markham--Thornhill","Markham--Thornhill"," 5","Markham",N,N,"",6,576,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,2
35055,"Markham--Thornhill","Markham--Thornhill"," 5","Markham",N,N,"",6,576,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
35055,"Markham--Thornhill","Markham--Thornhill"," 6","Markham",N,N,"",0,522,"Felian","","Melissa","Conservative","Conservateur",N,N,55
35055,"Markham--Thornhill","Markham--Thornhill"," 6","Markham",N,N,"",0,522,"Lee","","Mimi","Green Party","Parti Vert",N,N,1
35055,"Markham--Thornhill","Markham--Thornhill"," 6","Markham",N,N,"",0,522,"Ng","","Mary","Liberal","Libéral",Y,Y,115
35055,"Markham--Thornhill","Markham--Thornhill"," 6","Markham",N,N,"",0,522,"Pashaev","","Ilia","People's Party - PPC","Parti populaire - PPC",N,N,1
35055,"Markham--Thornhill","Markham--Thornhill"," 6","Markham",N,N,"",0,522,"Sahbaz","","Paul","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,21
35055,"Markham--Thornhill","Markham--Thornhill"," 7","Markham",N,N,"",4,618,"Felian","","Melissa","Conservative","Conservateur",N,N,60
35055,"Markham--Thornhill","Markham--Thornhill"," 7","Markham",N,N,"",4,618,"Lee","","Mimi","Green Party","Parti Vert",N,N,1
