Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Buday","","Gölök","Libertarian","Libertarien",N,N,2
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Francis","","Mauro","Conservative","Conservateur",N,N,25
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Hale","","Natasha","Communist","Communiste",N,N,0
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Kwan","","Jenny","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,77
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Litzcke","","Karin","People's Party - PPC","Parti populaire - PPC",N,N,5
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Matthew","","Cheryl","Green Party","Parti Vert",N,N,16
59035,"Vancouver East","Vancouver-Est"," 1","Vancouver",N,N,"",1,406,"Vander Vies","","Josh","Liberal","Libéral",N,N,34
59035,"Vancouver East","Vancouver-Est"," 2","Vancouver",N,N,"",0,411,"Buday","","Gölök","Libertarian","Libertarien",N,N,1
59035,"Vancouver East","Vancouver-Est"," 2","Vancouver",N,N,"",0,411,"Francis","","Mauro","Conservative","Conservateur",N,N,16
59035,"Vancouver East","Vancouver-Est"," 2","Vancouver",N,N,"",0,411,"Hale","","Natasha","Communist","Communiste",N,N,0
59035,"Vancouver East","Vancouver-Est"," 2","Vancouver",N,N,"",0,411,"Kwan","","Jenny","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,23
